baiwuzhishi 白屋之士
baixingergui 败兴而归
baixiuquejin 摆袖却金
baixueyangchun 白雪阳春
baiyanxiangkan 白眼相看
baiyexiaotiao 百业萧条
baiyibaicong 百依百从
baiyibaishun 百依百顺
baiyibaisui 百依百随
baiyicanggou 白衣苍狗
baiyigongqing 白衣公卿
baiyiqingxiang 白衣卿相
baiyitianshi 白衣天使
baiyixiushi 白衣秀士
baiyizaixiang 白衣宰相
baiyizhengxue 白蚁争穴
baiyuchiwu 白鱼赤乌
baiyudengzhou 白鱼登舟
baiyuruzhou 白鱼入舟
baiyuweixia 白玉微瑕
baiyuwuxia 白玉无瑕
baiyuncanggou 白云苍狗
baiyungufei 白云孤飞
baiyunqinshe 白云亲舍
baizhanbaibai 百战百败
baizhanbaisheng 百战百胜
baizhanbudai 百战不殆
baizhebuhui 百折不回
baizhebunao 百折不挠
baizhebuqu 百折不屈
baizheqianhui 百折千回
baizhiheizi 白纸黑字
baizhuanqiansheng 百啭千声
baiziqianhong 百紫千红
baizongqiansui 百纵千随
baizuzhichong 百足之虫
banbanlala 半半拉拉
banbanliushisi 板板六十四
banbanlulu 半半路路
banbiheshan 半壁河山
banbijiangshan 半壁江山
banbishanhe 半壁山河
banboluli 斑驳陆离
banboluli 班驳陆离
banbulunyu 半部论语
banbulunyuzhitianxia 半部论语治天下
banchoubuna 半筹不纳
banchoumozhan 半筹莫展
banchundishe 搬唇递舌
bandongbudong 半懂不懂
bangongxingshang 班功行赏
banjierutu 半截入土
banjieyizhi 半解一知
banjinbaliang 半斤八两
banjingdaogu 班荆道故
banjingdaojiu 班荆道旧
bankounongshe 搬口弄舌
banlongfufeng 扳龙附凤
banluchujia 半路出家
banmawenzhang 班马文章
banmennongfu 班门弄斧
banmengbanxing 半梦半醒
banmianzhijiao 半面之交
banmianzhijiu 半面之旧
bannongshifei 搬弄是非
banqingbanhuang 半青半黄
banshangdingding 板上钉钉
banshangluoxia 半上落下
banshangzouwan 阪上走丸
banshenbusui 半身不遂
banshengbanshu 半生半熟
banshengbushu 半生不熟
banshidesheng 班师得胜
banshihuichao 班师回朝
banshizaixiang 伴食宰相
bansibanlv 半丝半缕
bansibuhuo 半死不活
bantuerfei 半涂而废
bantuerfei 半途而废
bantuibanjiu 半推半就
bantunbantu 半吞半吐
banwenbanbai 半文半白
banxinbanjiu 半新半旧
banxinbanyi 半信半疑
banxinbujiu 半新不旧
banyesangeng 半夜三更
banyibanxin 半疑半信
banyixicai 斑衣戏彩
banyixicai 班衣戏彩
banzhenbanjia 半真半假
banzhufanniu 版筑饭牛
bangbingchengzhu 蚌病成珠
bangdayaoyuan 膀大腰圆
bangdayuanyang 棒打鸳鸯
bangguanlengyan 傍观冷眼
bangguotiancui 邦国殄瘁
banghuchishi 帮虎吃食
banghuasuiliu 傍花随柳
bangrenlibi 傍人篱壁
bangrenliluo 傍人篱落
bangrenmenhu 傍人门户
bangruowuren 傍若无人
bangshangwuming 榜上无名
bangxianzuanlan 帮闲钻懒
bangyiminweiben 邦以民为本
