chaoxibo 潮汐波
chaoxifeitiaohechangshu 潮汐非调和常数
chaoxifeitiaohefenxi 潮汐非调和分析
chaoxipinpu 潮汐频谱
chaoxishedong 潮汐摄动
chaoxitiaohechangshu 潮汐调和常数
chaoxitiaohefenxi 潮汐调和分析
chaoxiyinzi 潮汐因子
chaoxiyubao 潮汐预报
chaoxinbiao 潮信表
chenchuan 沉船
chenjiangguance 沉降观测
chenjingfashigongceliang 沉井法施工测量
chengchanshengzhongduan 程产生中断
chengchangshu 乘常数
chengshiceliang 城市测量
chengshiceliangshujuku 城市测量数据库
chengshidixingceliang 城市地形测量
chengshidixingtu 城市地形图
chengshiguihuaceliang 城市规划测量
chengshikongzhiceliang 城市控制测量
chengshizhitu 城市制图
chengxiangguangpuyi 成像光谱仪
chengxiangleida 成像雷达
chiducanshu 尺度参数
chouxi 抽稀
chouxiangfuhao 抽象符号
chubanyuantu 出版原图
chuce 初测
chujueditu 触觉地图
chuliangguanli 储量管理
chuantai 船台
chuihemian 垂核面
chuihexian 垂核线
chuiqiu 垂球
chuixianpiancha 垂线偏差
chuixianpianchagaizheng 垂线偏差改正
chuizhijiao 垂直角
chuizhizheguangcha 垂直折光差
chuizhizheguangxishu 垂直折光系数
chuizhunyi 垂准仪
chunzhongliyichang 纯重力异常
ciceshen 磁测深
ciceshenyi 磁测深仪
cidianyi 刺点仪
cifangweijiao 磁方位角
cilisaohaiceliang 磁力扫海测量
ciliyichangqu 磁力异常区
cipianjiao 磁偏角
ciqingjiao 磁倾角
cixiangxianjiao 磁象限角
ciziwuxian 磁子午线
cucha 粗差
cuchajiance 粗差检测
culuedingxiang 粗略定向
cuma 粗码
dabilichicetu 大比例尺测图
dabilichidixingtu 大比例尺地形图
dachaosheng 大潮升
dachelu 大车路
dadiceliang 大地测量
dadiceliangbianzhiwenti 大地测量边值问题
dadiceliangcankaoxi 大地测量参考系
dadiceliangshujuku 大地测量数据库
dadiceliangxue 大地测量学
dadiceliangyiqi 大地测量仪器
dadifangweijiao 大地方位角
dadigao 大地高
dadijizhun 大地基准
dadijieshouji 大地接收机
dadijingdu 大地经度
dadikongzhishujuku 大地控制数据库
dadishuizhunmian 大地水准面
dadishuizhunmiangao 大地水准面高
daditiandingyanchi 大地天顶延迟
daditianwenxue 大地天文学
dadiwang 大地网
dadiwei 大地位
dadiweidu 大地纬度
dadixian 大地线
dadixianweifenfangcheng 大地线微分方程
dadiyuandian 大地原点
dadizhonglixue 大地重力学
dadizhutifanjie 大地主题反解
dadizhutizhengjie 大地主题正解
dadizuobiao 大地坐标
dadizuobiaoxi 大地坐标系
dahuantouying 大环投影
dalujiadixingceliang 大陆架地形测量
daqichuanshutexing 大气传输特性
daqichuang 大气窗
daqigaizheng 大气改正
daqitouguolv 大气透过率
daqizaosheng 大气噪声
daqizulishedong 大气阻力摄动
daxiangfusheyingji 大像幅摄影机
dayang 打样
dayangdishitu 大洋地势图
dayangshuishentu 大洋水深图
dayuanhangxiantu 大圆航线图
daixiexishu 带谐系数
daizhuangpingmiantu 带状平面图
danchaxiangweiguance 单差相位观测
dandaosheyingceliang 弹道摄影测量
dandaosheyingji 弹道摄影机
dandiandingwei 单点定位
danpianzuobiaoliangceyi 单片坐标量测仪
danweiquan 单位权
danweiquanfangcha 单位权方差
danweiquanfangchawei 单位权方差为
danzhanghuoduozhangtuzucheng 单张或多张图组成
dangchagaizheng 档差改正
dangdipingjunhaimian 当地平均海面
daobiao 导标
daochaceliang 道岔测量
daochuifa 倒锤法
daochuixianguance 倒锤线观测
daodandingxiangceliang 导弹定向测量
daodanshiyanchanggongchengceliang 导弹试验场工程测量
daohangtaidingweiceliang 导航台定位测量
daohangtu 导航图
daohangxian 导航线
daohongxi 倒虹吸
daolugongchengceliang 道路工程测量
daoluliance 岛陆联测
daorugaochengceliang 导入高程测量
daoxian 导线
daoxianbian 导线边
daoxianceliang 导线测量
daoxiandian 导线点
daoxianhengxiangwucha 导线横向误差
daoxianjiaodubihecha 导线角度闭合差
daoxianjiedian 导线结点
daoxianquzhexishu 导线曲折系数
