dingbiaoxing 定标星
dingbiaoyuan 定标源
dinggui 定轨
dingrijing 定日镜
dingtianjing 定天镜
dingxiangguangshan 定向光栅
dingxingjing 定星镜
dongdaju 东大距
dongfangzhao 东方照
donglixuecankaoxi 动力学参考系
donglixuenianling 动力学年龄
donglixueyuzhouxue 动力学宇宙学
donglixuezhiliang 动力学质量
dongnengjunfen 动能均分
dongtaibaodao 动态报道
dongzhidian 冬至点
doupu 陡谱
doupuyuan 陡谱源
duguililun 度规理论
duguiraodong 度规扰动
dulijifen 独立积分
dulirishu 独立日数
dutebianxing 独特变星
duyanshenjihua 独眼神计划
duanbotushuai 短波突衰
duanchi 短尺
duanquezhiliang 短缺质量
duanxiangtianti 端向天体
duanzhouqibianxing 短周期变星
duanzhouqihuixing 短周期彗星
duanzhouqishedong 短周期摄动
duiliuceng 对流层
duiliuguochong 对流过冲
duiliuyuan 对流元
duirizhao 对日照
dunpaixingxing 盾牌型星
duoboduantianwenxue 多波段天文学
duobowenti 多钵问题
duocenglepinyi 多曾勒频移
duochangbaozhang 多场暴涨
duochangbaozhangmoxing 多场暴涨模型
duochonghongyi 多重红移
duochongxingxi 多重星系
duofangqiu 多方球
duojijufushe 多极矩辐射
duojingmianwangyuanjing 多镜面望远镜
duomubiaoshepuyi 多目标摄谱仪
duopulepinyi 多普勒频移
duopuletu 多普勒图
duoseceguang 多色测光
duotiwenti 多体问题
duotiantishepuyi 多天体摄谱仪
duoyuzhou 多宇宙
eshizhuangzhi 轭式装置
enkehuanfeng 恩克环缝
enkehuixing 恩克彗星
erfencha 二分差
erfendian 二分点
erfenquan 二分圈
erjieraodong 二阶扰动
erjuncha 二均差
ershibaxiu 二十八宿
ershisijieqi 二十四节气
ertipengzhuang 二体碰撞
ertiwenti 二体问题
erweiceguang 二维测光
erxingliujiashuo 二星流假说
erzhidian 二至点
erzhiquan 二至圈
fadingshi 法定时
fashexianxing 发射线星
fashexianxingxi 发射线星系
fashexingyun 发射星云
fanailunfushedai 范艾仑辐射带
fanchuanxingxing 帆船型星
fanmaningxing 范马宁星
fanshejing 反射镜
fanshewangyuanjing 反射望远镜
fanshexingyun 反射星云
fanwuzhiyuzhoulun 反物质宇宙论
fanyinxinfangxiang 反银心方向
fanzhaolv 反照率
